Word,Contains Multiple?,Vowels,Green Score,Yellow Score
women,False,2,4827,1040
nikau,False,3,1380,1733
swack,False,1,0,3621
feens,True,2,4545,3294
fyles,False,1,7716,267
poled,False,2,6943,0
clags,False,1,4870,2354
starn,False,1,0,4280
bindi,True,2,3250,751
woops,True,2,6454,1407
fanos,False,2,7767,696
cabin,False,2,3180,1744
souct,False,2,2093,3358
trass,True,1,3950,3505
shoat,False,2,544,4348
lefty,False,1,2194,2379
durra,True,2,2382,2076
hypes,False,1,6273,1118
junta,False,2,3246,679
baisa,True,3,3168,2241
bises,True,2,8561,531
kipps,True,1,5330,1156
sable,False,2,2260,4184
abacs,True,2,3950,2458
thurl,False,1,544,2672
nurrs,True,1,6332,1041
saris,True,2,7407,2440
wroth,False,1,1308,2296
venal,False,2,1204,3174
texas,False,2,4083,3514
soman,False,2,2093,3673
linds,False,1,6292,1046
laden,False,2,4583,1495
nolos,True,2,6891,1021
pixie,True,3,2370,2399
calms,False,1,7978,402
chert,False,1,1464,2324
oxbow,True,2,0,1413
groma,False,2,637,3010
nomen,True,2,4416,1365
potae,False,3,2950,3207
noyed,False,2,5238,538
fifty,True,1,4169,178
emerg,True,2,0,2232
shtup,False,1,544,2723
aspic,False,2,0,2199
shone,False,2,544,4854
junky,False,1,4146,0
louns,False,2,6043,2027
babka,True,2,3668,1013
roton,True,2,2093,2469
abaft,True,2,0,3011
hykes,False,1,6273,1023
nipas,False,2,5330,1761
inbye,False,2,0,2471
kaing,False,2,2260,2351
pukus,True,2,5992,669
muils,False,2,5828,1818
snowy,False,1,1297,3022
piled,False,2,6230,0
brook,True,2,908,2882
avens,False,2,3950,2456
baiza,True,3,3168,1852
edger,True,2,2323,1422
fawns,False,1,6805,1057
genii,True,3,1599,2786
mavis,False,2,6903,1120
argal,True,2,0,3586
assay,True,2,1297,2433
cocas,True,2,6963,1465
shash,True,1,544,3677
wrath,False,1,1308,2542
thins,False,1,4494,2648
karat,True,2,3457,2174
tunny,True,1,3444,1601
mudge,False,2,1878,2331
syped,False,1,3145,2190
chose,False,2,1464,3023
zupas,False,2,5135,1541
hants,False,1,8069,488
leech,True,2,0,3856
lyric,False,1,1197,1849
winds,False,1,6703,471
mened,True,2,4800,1626
momus,True,2,6736,911
usher,False,2,2323,1075
qophs,False,1,6121,598
ombus,False,2,3950,1185
gavel,False,2,5220,715
swive,False,2,0,4444
slant,False,1,0,5004
firns,False,1,7122,786
beigy,False,2,2205,3095
unlid,False,2,1670,1414
flegs,False,1,4545,2001
wangs,False,1,7583,422
awner,False,2,3285,1572
claut,False,2,920,3059
ceded,True,2,4065,2016
manos,False,2,7865,696
fuggy,True,1,3077,784
bunde,False,2,3055,1990
shute,False,2,1441,3745
snoke,False,2,500,4413
bulky,False,1,4738,0
cents,False,1,6729,1626
agama,True,3,0,3127
chess,True,1,5414,1397
ranid,False,2,4044,1508
flurr,True,1,595,2752
dewar,False,2,0,4324
night,False,1,1380,1648
porks,False,1,8597,0
voema,False,3,2335,1963
cimex,False,2,4623,580
samfu,False,2,2260,2370
query,False,2,2560,1598
snipy,False,1,1297,3370
glens,False,1,4587,2365
kests,True,1,4847,2532
peril,False,2,2054,2981
falls,True,1,7653,771
urges,False,2,6273,1491
krunk,True,1,0,3024
tased,False,2,5405,1346
folia,False,3,3536,1559
orgia,False,3,0,3123
verve,True,2,1439,3300
rinks,False,1,6792,628
choko,True,2,1964,1377
hully,True,1,3330,1259
fakey,False,2,6475,268
durgy,False,1,3679,1103
polje,False,2,3798,1548
sects,True,1,4847,3578
giant,False,2,2017,2747
iftar,False,2,0,2550
hayed,False,2,5405,701
elfed,True,2,3145,1178
likes,False,2,7653,843
sword,False,1,822,3428
banty,False,1,6324,0
blech,False,1,908,2352
daubs,False,2,6210,1589
exies,True,3,6273,1407
tetra,True,2,0,4451
agros,False,2,5147,1507
shier,False,2,2867,3280
kines,False,2,8615,375
yanks,False,1,7672,181
herma,False,2,1197,3195
bitte,True,2,3185,2134
spook,True,2,0,3730
ribby,True,1,2677,1204
fazes,False,2,9270,0
faqir,False,2,2855,1566
pluck,False,1,857,2026
devos,False,2,3950,3243
bares,False,2,10638,0
looks,True,2,6543,1564
sepad,False,2,822,4622
blats,False,1,5755,1932
splay,False,1,2145,2861
wimpy,False,1,3088,928
husos,True,2,5135,1715
forge,False,2,3885,1941
femes,True,2,6868,2136
irony,False,2,1297,2880
hurra,True,2,2382,1883
annoy,True,2,2259,1777
macas,True,2,6903,1465
phons,False,1,5351,1775
gymps,False,0,4587,1195
sepic,False,2,0,4556
horde,False,2,3290,2478
redox,False,2,0,3410
raise,False,3,2260,3709
venom,False,2,1204,2504
balks,False,1,8466,0
houff,True,2,2093,1469
bivvy,True,1,3585,395
farci,False,2,4052,686
sodas,True,2,6043,3023
salvo,False,2,3108,2103
gumbo,False,2,1822,1140
monad,False,2,4570,1073
tidal,False,2,1380,2753
jammy,True,1,3759,912
gurly,False,1,4316,771
gapes,False,2,9170,363
drere,True,2,0,4738
seems,True,2,3950,4470
bouge,False,3,3001,2607
ollas,True,2,4798,2032
fakir,False,2,2855,1821
fetta,True,2,1492,2920
thesp,False,1,544,2359
trots,True,1,4847,2744
sixes,True,2,7786,1560
parps,True,1,8264,418
rewed,True,2,3145,2525
wakes,False,2,8944,268
gades,False,2,9170,390
hired,False,2,5722,488
ferny,False,1,3089,2412
orals,False,2,3950,3208
faxes,False,2,9261,0
surds,True,1,6332,2031
larns,False,1,7407,1361
sophs,True,1,6043,2158
malts,False,1,8648,0
delos,False,2,4798,3003
vixen,False,2,4078,530
hosts,True,1,6940,1019
drawn,False,1,0,3514
indow,False,2,0,1660
oddly,True,1,1297,1507
grume,False,2,637,3527
radix,False,2,2260,1968
sacra,True,2,2260,3347
spoom,True,2,0,3655
poopy,True,2,4247,1407
datos,False,2,6210,1992
salse,True,2,3108,3594
skean,False,2,0,4140
loess,True,2,6043,1972
sownd,False,1,2915,2617
boast,False,2,3001,2476
tragi,False,2,0,3692
noyau,False,3,2093,1678
yeven,True,2,2323,2577
blore,False,2,908,3921
tawas,True,2,6210,2159
furor,True,2,2977,1369
dotes,False,2,8366,1296
thief,False,2,2867,1944
dacks,False,1,6710,1073
pilus,False,2,7035,401
wader,False,2,4994,1063
ralph,False,1,3108,1413
dropt,False,1,0,3754
illth,True,1,1745,1229
paged,False,2,6262,362
humor,False,2,1185,2367
great,False,2,637,3621
neves,True,2,6273,2191
ratio,False,3,2260,2511
lordy,False,1,4587,1046
sonic,False,2,3055,2567
gybes,False,1,6910,601
shama,True,2,544,3876
limed,False,2,4525,1085
salal,True,2,3108,3108
aorta,True,3,4187,1415
beach,False,2,908,3634
glogg,True,1,637,2251
abris,False,2,5147,1697
sayne,False,2,2260,4078
mince,False,2,3035,1925
dukes,False,2,7458,949
sloth,False,1,897,3613
laked,False,2,5405,843
exeem,True,3,2323,1424
troys,False,1,3950,2852
kehua,False,3,0,3201
studs,True,1,3950,2936
lummy,True,1,2482,1487
rhumb,False,1,544,1755
ardeb,False,2,2323,2125
yeads,False,2,3950,3513
liney,False,2,5962,575
salat,True,2,3108,3359
tappa,True,2,2260,2275
zilch,False,1,2228,878
yeggs,True,1,3950,2591
girly,False,1,4511,771
hoots,True,2,6940,1477
parev,False,2,6637,4
gusle,False,2,1822,2821
awake,True,3,500,3653
umiak,False,3,0,2754
swang,False,1,0,3887
dunts,False,1,6994,681
ridgy,False,1,2677,1440
fakie,False,3,2855,2667
seils,True,2,3950,5004
seels,True,2,3950,4839
kagus,False,2,6210,1138
yodhs,False,1,6043,806
sools,True,2,6043,3320
richt,False,1,1380,1981
runds,False,1,6097,1099
snark,False,1,0,4113
domed,True,2,5238,1191
glede,True,2,637,3569
urbia,False,3,0,3022
laiks,False,2,6710,1622
keech,True,2,0,3656
pinna,True,2,3199,1465
ebook,True,3,0,2326
flips,False,1,4545,2162
lewis,False,2,3950,3352
corse,False,2,4210,2034
camus,False,2,7130,911
swaps,True,1,3950,3376
delis,False,2,4798,3187
hamed,False,2,5405,998
zowee,True,3,4416,1895
egers,True,2,3950,1976
atmas,True,2,3950,2558
xeric,False,2,1197,2649
apery,False,2,1297,2562
beryl,False,1,2105,2209
ocher,False,2,2323,1231
lysol,True,1,0,2544
pokal,False,2,2950,1816
watap,True,2,2671,1835
metic,False,2,693,3248
burns,False,1,7240,786
dibbs,True,1,5330,1257
vares,False,2,9972,0
cruor,True,2,920,2975
snods,True,1,3950,3365
probs,False,1,4807,2171
undue,True,3,0,2844
scaur,False,2,0,4045
thole,False,2,544,4094
sexed,True,2,3278,3186
onion,True,3,0,2880
zoril,False,2,3290,1460
nance,True,2,3222,2250
deffo,True,2,0,3106
prize,False,2,857,3632
curds,False,1,7252,471
bazar,True,2,3310,1746
milko,False,2,3421,388
cowed,False,2,6158,271
rager,True,2,4583,1663
corps,False,1,8160,418
audio,False,4,1185,2394
boofy,True,2,4298,1222
hollo,True,2,2941,1647
hapax,True,2,2260,1994
jeune,True,3,202,4597
idant,False,2,0,2996
swiss,True,1,3950,3285
catch,True,1,3180,1388
gript,False,1,637,3131
spewy,False,1,1297,2798
roble,False,2,2093,3252
waurs,False,2,6621,1382
beeps,True,2,4858,2926
kales,False,2,9381,375
prest,False,1,857,3063
geals,False,2,4587,3632
tater,True,2,4583,2103
tassa,True,2,2260,2540
bocce,True,2,3001,2317
ulans,False,2,3950,2907
ahull,True,2,544,2648
sheik,False,2,544,3579
elegy,True,2,1297,2304
plops,True,1,4807,2104
scrip,False,1,1197,2763
zaire,False,3,2260,3387
laddy,True,1,3557,1436
dings,False,1,6292,1103
punka,False,2,3504,679
pacey,False,2,6737,392
bilgy,False,1,4433,422
chewy,False,1,2761,1010
hemps,False,1,3950,3042
jolts,False,1,7990,0
greet,True,2,2960,2548
leans,False,2,3950,4222
squit,False,2,0,3847
tromp,False,1,0,3293
flume,False,2,595,3284
rower,True,2,4416,1572
penne,True,2,1819,3931
umbra,False,2,0,2106
palmy,False,1,5262,402
tunas,False,2,6097,1888
cleek,True,2,3243,1836
flimp,False,1,595,2293
pedal,False,2,857,3564
cuppy,True,1,3402,781
bundu,True,2,3055,538
dweeb,True,2,2323,1785
pupas,True,2,5992,1436
prude,False,2,857,3596
alter,False,2,2323,2721
nyaff,True,1,0,2142
laxer,False,2,4716,1248
gerbe,True,2,1834,3387
anime,False,3,0,4049
nieve,True,3,1380,2881
bwazi,False,2,908,1804
brule,False,2,908,3896
cider,False,2,4623,1063
roneo,True,3,5378,1016
nirls,False,1,6527,1096
kaugh,False,2,2260,1830
oases,True,3,8533,793
fewer,True,2,2918,2570
pinny,True,1,4496,786
sault,False,2,2260,3723
carvy,False,1,5674,155
ultra,False,2,0,2896
kloof,True,2,0,2839
spazz,True,1,0,3181
spoil,False,2,0,4132
logie,False,3,2093,3336
orang,False,2,0,3366
fices,False,2,8248,392
atocs,False,2,3950,2370
fungi,False,2,2742,702
kilos,False,2,6178,1071
amnia,True,3,962,2483
glads,False,1,4587,2403
chaft,False,1,1464,2194
lusts,True,1,6032,1106
toxin,False,2,2226,2225
boozy,True,2,4298,1115
yourn,False,2,2093,2093
medal,False,2,693,3564
maras,True,2,8100,1073
sowse,True,2,2093,3865
enmew,True,2,2323,1222
mains,False,2,6903,1833
olpae,False,3,0,3914
tride,False,2,0,4792
nival,False,2,1380,2113
loure,False,3,2093,3476
crook,True,2,920,2882
spied,False,2,3145,2835
ketas,False,2,3950,3689
labis,False,2,6210,1789
tossy,True,1,3390,1861
yapon,False,2,2260,1770
tweer,True,2,2323,2533
peris,False,2,6004,2506
kudzu,True,2,1185,958
odals,False,2,3950,2352
rosed,False,2,5238,1159
noser,False,2,4416,1529
crena,False,2,920,3287
heist,False,2,0,4402
pervy,False,1,3351,1781
amaze,True,3,0,3804
neons,True,2,3950,3726
mirid,True,2,4092,880
mured,False,2,6220,0
helve,True,2,848,3788
hepar,False,2,0,4223
demic,False,2,0,3824
besaw,False,2,908,3294
molls,True,1,7584,771
annex,True,2,3285,1151
warks,False,1,8318,0
smews,True,1,3950,2758
warby,False,1,5165,242
fayer,False,2,5178,886
minks,False,1,7485,0
ripes,False,2,7653,991
hacek,False,2,4583,1137
spait,False,2,0,4629
audad,True,3,2007,2199
clack,True,1,920,2595
afros,False,2,5147,1456
greve,True,2,637,3496
dwaal,True,2,0,3627
bayts,False,1,8015,213
ottar,True,2,0,2862
diels,False,2,5330,2334
tansy,False,1,4519,1330
ikons,False,2,3950,2035
craps,False,1,4870,2593
phpht,True,0,1401,1324
glass,True,1,4587,2447
talar,True,2,3108,2561
umrah,False,2,1197,1817
yesks,True,1,4450,2338
